"REC_NO","COLL_DATE","GRAINSIZE","SOIL_HORIZ","SETTING","RELIEF","VEG","LATITUDE","LONGITUDE","HUC_8","TYPEDESC","SOURCE","STUDY","PH","P_ICP40","C_TOT","C_ORG","Date","P_mgkg","Depth","surface","min_depth","max_depth","max_depth_est"
"ST009130","20030530","","Bk2","Upland","","Cropland",48.96499,-101.23251,9010003,"SOIL","Soil","",NA,0.06,NA,NA,2003-05-30,600,"subsurface","NA",NA,NA,30
"ST009131","20030716","","Ap","Till plain","","CRP",48.55294,-101.08287,9010005,"SOIL","Soil","",NA,0.074,NA,NA,2003-07-16,740,"surface","NA",NA,NA,12
"ST009132","20030612","","Ap","Valley","","Cropland",48.01268,-100.86379,9010003,"SOIL","Soil","",NA,0.113,NA,NA,2003-06-12,1130,"surface","NA",NA,NA,12
"ST009133","20030610","","Ap","Missouri Coteau","","Cropland",48.10463,-101.53238,9010001,"SOIL","Soil","",NA,0.077,NA,NA,2003-06-10,770,"surface","NA",NA,NA,12
"ST009134","20030530","","Ap","Upland","","Cropland",48.63314,-101.14555,9010005,"SOIL","Soil","",NA,0.067,NA,NA,2003-05-30,670,"surface","NA",NA,NA,12
"ST009135","20030716","","Ap","Till plain","","Cropland",48.38708,-101.46132,9010001,"SOIL","Soil","",NA,0.073,NA,NA,2003-07-16,730,"surface","NA",NA,NA,12
"ST009136","20030528","","Bw","Upland","","Native/Rangeland",48.87165,-100.55426,9010003,"SOIL","Soil","",NA,0.052,NA,NA,2003-05-28,520,"subsurface","NA",NA,NA,30
"ST009137","20030528","","Ap","Upland","","Cropland",48.9668,-101.87402,9010001,"SOIL","Soil","",NA,0.07,NA,NA,2003-05-28,700,"surface","NA",NA,NA,12
"ST009138","20030610","","Ap","Till plain","","Cropland",48.09809,-101.22995,9010001,"SOIL","Soil","",NA,0.064,NA,NA,2003-06-10,640,"surface","NA",NA,NA,12
"ST009139","20030716","","Bk","Till plain","","Cropland",48.38711,-101.46125,9010001,"SOIL","Soil","",NA,0.064,NA,NA,2003-07-16,640,"subsurface","NA",NA,NA,30
"ST009140","20030716","","Ap","Till plain","","CRP",48.55294,-101.08287,9010005,"SOIL","Soil","",NA,0.074,NA,NA,2003-07-16,740,"surface","NA",NA,NA,12
"ST009141","20030529","","Bk","Upland","","Cropland",48.28361,-100.85417,9010005,"SOIL","Soil","",NA,0.068,NA,NA,2003-05-29,680,"subsurface","NA",NA,NA,30
"ST009142","20030506","","Ap","Till plain","","Cropland",48.92042,-102.89395,9010001,"SOIL","Soil","",NA,0.043,NA,NA,2003-05-06,430,"surface","NA",NA,NA,12
"ST009143","20030716","","Bk","Till plain","","Cropland",48.34754,-101.44808,9010001,"SOIL","Soil","",NA,0.07,NA,NA,2003-07-16,700,"subsurface","NA",NA,NA,30
"ST009144","20030529","","C1","Till plain","","Range, wildlife refuge",48.97086,-103.30374,9010001,"SOIL","Soil","",NA,0.058,NA,NA,2003-05-29,580,"subsurface","NA",NA,NA,30
"ST009145","20030528","","Bk1","Upland","","Cropland",48.87989,-101.30529,9010003,"SOIL","Soil","",NA,0.069,NA,NA,2003-05-28,690,"subsurface","NA",NA,NA,30
"ST009146","20030610","","A","Missouri Coteau","","Wildlife",48.05944,-101.85657,10110101,"SOIL","Soil","",NA,0.088,NA,NA,2003-06-10,880,"surface","NA",NA,NA,12
"ST009147","20030729","","A","Till plain","","Range",48.06752,-102.50477,10110101,"SOIL","Soil","",NA,0.063,NA,NA,2003-07-29,630,"surface","NA",NA,NA,12
"ST009148","20030529","","Bk2","Till plain","","Cropland",48.82175,-103.7934,9010001,"SOIL","Soil","",NA,0.061,NA,NA,2003-05-29,610,"subsurface","NA",NA,NA,30
"ST009149","20030730","","Bk","Till plain","","CRP",48.42851,-102.97485,10110101,"SOIL","Soil","",NA,0.066,NA,NA,2003-07-30,660,"subsurface","NA",NA,NA,30
"ST009150","20030530","","A","Till plain","","Range",48.47372,-103.42784,10110102,"SOIL","Soil","",NA,0.072,NA,NA,2003-05-30,720,"surface","NA",NA,NA,12
"ST009151","20030715","","C","Outwash plain","","Native pasture",48.20844,-100.4971,9010003,"SOIL","Soil","",NA,0.029,NA,NA,2003-07-15,290,"subsurface","NA",NA,NA,30
"ST009152","20030529","","A","Till plain","","Range, wildlife refuge",48.97086,-103.30374,9010001,"SOIL","Soil","",NA,0.07,NA,NA,2003-05-29,700,"surface","NA",NA,NA,12
"ST009153","20030610","","Bk","Till plain","","Cropland",48.16883,-101.3106,9010001,"SOIL","Soil","",NA,0.063,NA,NA,2003-06-10,630,"subsurface","NA",NA,NA,30
"ST009154","20030611","","Ap","Till plain","","Cropland",48.45001,-101.70203,9010002,"SOIL","Soil","",NA,0.062,NA,NA,2003-06-11,620,"surface","NA",NA,NA,12
"ST009155","20030730","","Ap","Till plain","","CRP",48.42851,-102.97485,10110101,"SOIL","Soil","",NA,0.058,NA,NA,2003-07-30,580,"surface","NA",NA,NA,12
"ST009156","20030528","","Ap","Upland","","Cropland",48.65797,-101.29884,9010005,"SOIL","Soil","",NA,0.068,NA,NA,2003-05-28,680,"surface","NA",NA,NA,12
"ST009157","20030730","","Bt","Till plain","","Rangeland",48.50415,-102.96751,10110101,"SOIL","Soil","",NA,0.069,NA,NA,2003-07-30,690,"subsurface","NA",NA,NA,30
"ST009158","20030529","","Ap","Upland","","Cropland",48.28361,-100.85417,9010005,"SOIL","Soil","",NA,0.063,NA,NA,2003-05-29,630,"surface","NA",NA,NA,12
"ST009159","20030528","","Ap","Upland","","Cropland",48.84654,-101.82354,9010001,"SOIL","Soil","",NA,0.065,NA,NA,2003-05-28,650,"surface","NA",NA,NA,12
"ST009160","20030530","","Bw","Till plain","","Range",48.47372,-103.42784,10110102,"SOIL","Soil","",NA,0.059,NA,NA,2003-05-30,590,"subsurface","NA",NA,NA,30
"ST009162","20030506","","Btkn","Till plain","","Cropland",48.92015,-102.89411,9010001,"SOIL","Soil","",NA,0.061,NA,NA,2003-05-06,610,"subsurface","NA",NA,NA,30
"ST009163","20030716","","Abk","Till plain","","CRP",48.55291,-101.08286,9010005,"SOIL","Soil","",NA,0.064,NA,NA,2003-07-16,640,"surface","NA",NA,NA,12
"ST009164","20030716","","Bk","Till plain","","Cropland",48.38708,-101.46132,9010001,"SOIL","Soil","",NA,0.053,NA,NA,2003-07-16,530,"subsurface","NA",NA,NA,30
